feature,importance,domain
TF:DWT_L3_std,47.0,TF
TIME:hist_b9,47.0,TIME
FREQ:cepstral_7,47.0,FREQ
TF:stft_skew,47.0,TF
TF:DWT_L2_mean,47.0,TF
TF:WPT_dada_min,47.0,TF
TF:DWT_L3_tk_max,46.0,TF
TIME:energy_centroid,46.0,TIME
TF:WPT_adaa_min,46.0,TF
TF:lbp_b1,46.0,TF
TF:WPT_aaaa_kurt,46.0,TF
TIME:autocorr_lag1,46.0,TIME
TF:WPT_adad_median,46.0,TF
TF:mod10_centroid,46.0,TF
TF:mod0_centroid,46.0,TF
TF:WPT_ddad_tk_max,46.0,TF
TF:lbp_b4,46.0,TF
TF:stft_std,46.0,TF
TIME:mean_abs,46.0,TIME
TF:glcm_10_contrast_d1_a2,46.0,TF
TIME:hist_b1,45.0,TIME
FREQ:ratio_mid_high,45.0,FREQ
TF:WPT_daaa_tk_std,45.0,TF
TF:glcm_41_energy_d3_a0,45.0,TF
TF:WPT_daaa_entropy,45.0,TF
TF:DWT_L0_tk_max,45.0,TF
TF:WPT_aadd_median,45.0,TF
TF:WPT_ddad_min,45.0,TF
TF:WPT_aada_skew,45.0,TF
TIME:hist_b12,45.0,TIME
TF:DWT_L1_mean,44.0,TF
TF:WPT_aaaa_entropy,44.0,TF
TF:WPT_adaa_entropy,44.0,TF
TF:WPT_adda_min,44.0,TF
TF:glcm_15_contrast_d1_a3,44.0,TF
TF:WPT_aadd_tk_std,44.0,TF
TF:hog_b5,44.0,TF
TIME:autocorr_lag10,44.0,TIME
TF:glcm_66_energy_d4_a1,44.0,TF
TF:Et_skew,44.0,TF
TF:DWT_L6_tk_max,44.0,TF
TIME:n_valleys,44.0,TIME
TF:mod11_spread,44.0,TF
TIME:max,43.0,TIME
TF:Et_kurt,43.0,TF
TF:WPT_adda_skew,43.0,TF
TF:WPT_daaa_tk_max,43.0,TF
FREQ:frac_mid,43.0,FREQ
TF:DWT_L5_mean,43.0,TF
TF:tf_bbox_extent,43.0,TF
TF:WPT_aada_tk_max,43.0,TF
TF:WPT_addd_skew,43.0,TF
TF:WPT_aada_min,42.0,TF
TF:DWT_L4_median,42.0,TF
TF:DWT_L0_mean,42.0,TF
TF:tf_burstiness,42.0,TF
TF:DWT_L6_min,42.0,TF
TF:WPT_daad_skew,41.0,TF
TF:WPT_adda_mean,41.0,TF
TF:WPT_ddaa_max,41.0,TF
TF:WPT_adaa_tk_std,41.0,TF
TF:WPT_dada_mean,41.0,TF
TF:lbp_b22,41.0,TF
FREQ:spec_kurt,41.0,FREQ
TF:stft_gini,41.0,TF
TIME:hist_contrast,41.0,TIME
TF:tf_perimeter,41.0,TF
TF:stft_entropy,41.0,TF
FREQ:cepstral_3,40.0,FREQ
TIME:hist_b0,40.0,TIME
TF:DWT_L6_tk_std,40.0,TF
TF:stft_p75,40.0,TF
TF:WPT_adaa_max,40.0,TF
TF:WPT_adad_range,40.0,TF
FREQ:hist_b24,40.0,FREQ
FREQ:pow_std,39.0,FREQ
TIME:mean_peak_interval,39.0,TIME
TF:DWT_L6_range,39.0,TF
TF:WPT_dddd_min,39.0,TF
TF:WPT_ddad_zcr,39.0,TF
TF:glcm_24_entropy_d2_a0,39.0,TF
TF:WPT_aaad_rel_energy,39.0,TF
TF:Ef_std,39.0,TF
TF:WPT_daaa_skew,39.0,TF
TIME:hist_b11,38.0,TIME
TF:DWT_L6_skew,38.0,TF
TF:WPT_dadd_range,38.0,TF
TF:WPT_aadd_iqr,38.0,TF
TF:WPT_ddaa_mean,38.0,TF
TF:DWT_L1_std,38.0,TF
TF:WPT_aaaa_max,38.0,TF
TF:glcm_17_homogeneity_d1_a3,38.0,TF
TF:lbp_b9,37.0,TF
TF:WPT_ddaa_skew,37.0,TF
FREQ:hist_b25,37.0,FREQ
TF:WPT_adaa_mean,37.0,TF
TF:stft_crest,37.0,TF
TF:Et_range,37.0,TF
TF:DWT_L4_mean,37.0,TF
FREQ:hist_b23,37.0,FREQ
TF:WPT_adda_max,37.0,TF
TF:WPT_aaad_zcr,37.0,TF
TF:WPT_dada_max,37.0,TF
TF:WPT_dada_range,37.0,TF
TF:WPT_dadd_skew,37.0,TF
TF:WPT_daaa_tk_mean,37.0,TF
TF:glcm_72_homogeneity_d4_a2,36.0,TF
TF:WPT_addd_min,36.0,TF
FREQ:spec_entropy_renyi,36.0,FREQ
TF:WPT_ddda_tk_max,36.0,TF
TF:glcm_49_entropy_d3_a1,36.0,TF
TF:WPT_daad_min,36.0,TF
TF:WPT_adad_skew,36.0,TF
TF:WPT_ddda_min,36.0,TF
TF:DWT_L6_max,36.0,TF
TF:DWT_L0_min,36.0,TF
FREQ:hist_b27,36.0,FREQ
