feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:WPT_addd_zcr,3,0.0008331590215675533,718.0,0.18061789392435532,545.0,0.10357208443625643,842.0,0.0825142728995476,745.0,103.0,298.0,-3.0,52.5,-172.0,565.5,0.00017340199623881093,413.0,522.375,37.5
FREQ:bandP_rel_1,3,0.00696381414309144,592.0,0.19153449786251855,495.0,0.26933761186585015,512.5,0.09953479616531583,703.0,0.0,701.5,-8.0,552.5,-2.0,359.0,0.00032929959843654334,270.0,523.1875,37.5
TF:DWT_L1_var,3,28.052749633789062,121.0,0.09471890402893783,831.0,0.27464431539677037,478.0,0.12283342607025846,635.0,0.0,701.5,-5.0,252.5,-153.0,546.5,0.00010110359955798544,621.0,523.3125,37.5
TF:tfband_0,3,4.00709342956543,187.0,0.15978486073673262,660.0,0.21851225410394015,619.0,0.15276547839045349,453.0,0.0,701.5,-4.0,152.5,-159.0,552.5,3.614630644091379e-05,865.0,523.8125,37.5
TF:WPT_aaaa_max,3,17.371341705322266,133.0,0.22340976691721584,351.0,0.2611959204981815,531.0,0.11752073638335206,650.0,35.0,366.0,-8.0,552.5,-421.0,814.5,5.491830271695991e-05,794.0,524.0,37.5
TF:DWT_L0_tk_max,3,39853.3046875,38.0,0.18367117008814393,538.0,0.15714253614194584,753.0,0.1035929925120368,687.0,0.0,701.5,-7.0,452.5,-334.0,727.0,0.0002567273634973338,323.0,527.5,37.5
TIME:seg_energy_3,3,0.006469070911407471,598.0,0.1341123498213542,746.0,0.35332058548282763,293.0,0.10351779316126716,688.0,0.0,701.5,-3.0,52.5,-71.0,464.0,7.517705938366227e-05,705.0,531.0,37.5
TF:tfband_3,3,7.656859874725342,164.0,0.13863985185736247,734.0,0.19913901411131674,666.0,0.1326878466152817,599.0,0.0,701.5,-7.0,452.5,-270.0,663.0,0.00031216397736893406,281.0,532.625,37.5
TF:WPT_dada_max,3,0.019523801282048225,535.0,0.15272696379544218,693.0,0.18727442309383457,701.0,0.12770957991403623,623.0,0.0,701.5,-3.0,52.5,-93.0,486.0,0.00014313935101139971,479.0,533.875,37.5
TF:Ef_iqr,3,0.011304311454296112,570.0,0.2418941860122952,253.0,0.28535396494773835,453.5,0.14840310180954916,488.0,0.0,701.5,-9.0,652.5,-131.0,524.0,9.943938016562035e-05,629.0,533.9375,37.5
TIME:autocorr_peak,3,0.0026092822663486004,652.5,0.2472886222668246,215.5,0.2705161271430585,504.5,0.14586508387355654,513.5,0.0,701.5,-10.0,752.5,-83.0,476.0,0.0001474767688921493,458.0,534.25,37.5
TF:WPT_ddad_min,3,0.08811560273170471,423.0,0.1273964351031273,770.0,0.2319979557369738,592.0,0.13599983360013607,588.0,0.0,701.5,-9.0,652.5,-1.0,161.5,0.00019200189351427954,390.0,534.8125,37.5
TF:WPT_aada_energy,3,115291.859375,29.0,0.23324474416357946,309.0,0.2400205336447363,574.0,0.1478237156777985,493.0,0.0,701.5,-12.0,952.5,-159.0,552.5,8.539030936216927e-05,674.0,535.6875,37.5
TF:glcm_22_homogeneity_d2_a0,3,0.00034128979314118624,762.0,0.17264911362248778,583.0,0.2736000574731703,484.0,0.13806076234547848,570.0,0.0,701.5,-9.0,652.5,-1.0,161.5,0.000194054316902234,385.0,537.4375,37.5
TF:DWT_L5_var,3,0.09118945896625519,418.0,0.24978896780075574,199.0,0.35277816521907157,296.0,0.14581425934046083,516.0,0.0,701.5,-10.0,752.5,-242.0,635.0,5.705258080761571e-05,785.0,537.875,37.5
TF:DWT_L6_range,3,0.1794666349887848,370.5,0.17971329490561194,550.5,0.22491172294601114,609.5,0.15658722980097867,427.5,63.0,338.0,-11.0,852.5,-224.0,617.5,0.00012353311861328008,542.0,538.5,37.5
TF:WPT_dddd_max,3,0.10744523257017136,404.0,0.15734537529900802,675.0,0.17937436990133815,719.0,0.08542709864645942,741.0,0.0,701.5,-10.0,752.5,-1.0,161.5,0.0005842560125704034,167.0,540.1875,37.5
TF:WPT_aaaa_abs_mean,3,0.1563589721918106,384.0,0.1730277786924553,579.0,0.21781933811703214,620.0,0.20738583875978095,258.0,0.0,701.5,-10.0,752.5,-2.0,359.0,8.424794590025943e-05,678.0,541.5,37.5
