feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:Et_max,7,5.939275741577148,164.0,0.18705756879925767,350.0,0.28282816193347804,476.0,0.08202915632309342,506.0,201.0,200.0,-6.0,352.5,-18.0,159.5,0.0002072009295774966,412.0,327.5,87.5
TF:coherence_std,7,0.0005560061545111239,670.0,0.20854093186479675,208.0,0.36114295729290546,296.0,0.12361384638272228,306.0,88.0,313.0,-7.0,452.5,-2.0,130.5,0.0002809583613311351,277.0,331.625,87.5
FREQ:pow_std,7,5637846528.0,10.0,0.17559849990872012,397.0,0.3560512303159058,315.0,0.11777160042444525,323.0,0.0,701.5,-7.0,452.5,-227.0,368.0,0.00040068031826328546,175.0,342.75,87.5
FREQ:hist_b31,7,0.0006120406906120479,664.0,0.17078436938319283,428.0,0.2703185213464594,500.0,0.08380157715473624,497.0,241.0,160.0,-3.0,52.5,-87.0,228.0,0.00035268528168607566,213.0,342.8125,87.5
TF:WPT_dddd_rel_energy,7,1.5595122415668072e-11,938.0,0.21944157794212504,114.0,0.37456292149612747,262.0,0.16575161744625297,81.0,292.0,109.0,-7.0,452.5,-309.0,450.0,0.0002291965934002873,356.0,345.3125,87.5
TF:WPT_aada_abs_mean,7,0.04040762037038803,442.0,0.22092559731639938,77.0,0.38030009471399673,243.0,0.15365700536789637,156.0,206.0,195.0,-11.0,852.5,-287.0,428.0,0.00021431054873735474,389.0,347.8125,87.5
TIME:env_std,7,0.012766791507601738,491.0,0.17368676087882087,410.0,0.3349596334203313,361.0,0.08570268966824872,490.0,308.0,93.0,-9.0,652.5,-1.0,59.0,0.0003203548009047368,238.0,349.3125,87.5
FREQ:pow_max,7,21789283450880.0,4.0,0.1585236728130092,468.0,0.3031803818150882,428.0,0.09594404378608015,449.0,0.0,701.5,-5.0,252.5,-56.0,197.0,0.0002500331455934877,317.0,352.125,87.5
TIME:energy_entropy,7,0.12219454348087311,367.0,0.1812552551815505,378.0,0.2690799294725337,501.0,0.0684221418933713,565.0,136.0,265.0,-7.0,452.5,-1.0,59.0,0.0003221163375755694,237.0,353.0625,87.5
TF:flux_max,7,0.14310906827449799,357.0,0.18987630683416667,341.0,0.25850841022824245,527.0,0.0881612231726832,482.0,70.0,331.0,-6.0,352.5,-78.0,219.0,0.0003326945549677714,227.0,354.5625,87.5
