feature,importance,domain
TF:DWT_L1_tk_std,136.0,TF
TF:tf_bbox_extent,135.0,TF
TF:WPT_dada_tk_max,135.0,TF
TIME:hist_b2,135.0,TIME
TF:DWT_L0_min,134.0,TF
TIME:hist_b1,133.0,TIME
TIME:p90,133.0,TIME
TF:glcm_18_correlation_d1_a3,133.0,TF
TF:glcm_13_correlation_d1_a2,133.0,TF
TF:WPT_daad_min,133.0,TF
TF:Et_min,133.0,TF
TF:glcm_58_correlation_d3_a3,132.0,TF
TF:WPT_daaa_min,132.0,TF
TF:WPT_aaaa_abs_mean,132.0,TF
TF:DWT_L3_tk_max,130.0,TF
TF:WPT_ddaa_skew,130.0,TF
TF:WPT_ddda_skew,130.0,TF
TF:WPT_dddd_skew,129.0,TF
TF:Ef_std,128.0,TF
TF:Ef_p75,128.0,TF
TIME:p75,127.0,TIME
TF:WPT_adda_skew,126.0,TF
TF:DWT_L2_tk_std,125.0,TF
TF:glcm_68_correlation_d4_a1,124.0,TF
TF:WPT_daaa_skew,124.0,TF
FREQ:spec_rolloff,123.0,FREQ
TIME:skew,123.0,TIME
FREQ:cepstral_2,123.0,FREQ
TIME:p25,121.0,TIME
TF:glcm_8_correlation_d1_a1,120.0,TF
TF:WPT_adaa_min,120.0,TF
TF:WPT_aaaa_max,120.0,TF
TF:WPT_ddaa_min,120.0,TF
TF:WPT_daad_kurt,119.0,TF
TF:mod11_centroid,119.0,TF
TIME:hist_b12,119.0,TIME
TF:WPT_daad_entropy,117.0,TF
TF:WPT_addd_max,117.0,TF
TIME:std_peak_interval,115.0,TIME
TF:WPT_aaaa_min,114.0,TF
TF:glcm_33_correlation_d2_a2,114.0,TF
TIME:hist_b3,113.0,TIME
TIME:env_crest,112.0,TIME
TF:tf_sparsity,112.0,TF
FREQ:spec_kurt,111.0,FREQ
TF:WPT_daad_tk_max,111.0,TF
TIME:burst_count,110.0,TIME
TF:Et_p25,110.0,TF
TF:DWT_L0_max,110.0,TF
TF:DWT_L2_iqr,110.0,TF
TF:WPT_addd_range,109.0,TF
TF:glcm_53_correlation_d3_a2,108.0,TF
TF:DWT_L4_range,108.0,TF
TF:WPT_adaa_max,108.0,TF
